product_ID,product_name,Total_Orders,Stockout_Days,Service_Level,Avg_Holding_Cost
10114,Stainless Steel Straws,90,69,0.01,3874.16
10335,Recipe Book Stand,90,81,0.02,1510.12
10447,Digital Kitchen Timer,90,75,0.01,2348.51
13101,Pumpkin Waffles,90,88,0.01,249.84
15006,Luxury Bathrobe,90,69,0.01,2137.76
15060,Fashionable Scarves Set,90,90,0.01,0.0
16073,LED Under Cabinet Lighting,90,90,0.01,0.0
16090,Wall-Mounted Organizer,90,90,0.01,0.0
16215,LED Desk Lamp,90,83,0.03,2155.57
17066,High-Speed HDMI Cable,90,90,0.01,0.0
17132,Video Camera,90,90,0.01,0.0
18076,Jalapeño Cornbread,90,90,0.01,0.0
18222,Almond Flour Biscuits,90,66,0.03,1435.65
18278,Cranberry Almond Biscotti,90,76,0.01,3009.93
20011,Pasta Primavera,90,90,0.01,0.0
20158,Cauliflower Gnocchi,90,76,0.02,1722.38
21051,Mango Chutney,90,90,0.01,0.0
21067,Teriyaki Stir-Fry Sauce,90,76,0.02,1397.07
21155,Caramel Sauce,90,90,0.01,0.0
21213,Maple Chipotle Glaze,90,90,0.01,0.0
21225,Honey,90,88,0.01,156.4
22237,Pet Safety Harness,90,90,0.02,0.0
22425,Biodegradable Dog Waste Bags,90,90,0.02,0.0
23154,Peanut Butter Pretzel Bites,90,90,0.01,0.0
23272,Coconut Granola,90,90,0.01,0.0
23338,Dark Chocolate Almond Butter Cups,90,90,0.01,0.0
25018,Sriracha Honey Glaze,90,90,0.01,0.0
26026,Kids' Building Blocks,90,65,0.01,8926.88
26029,Kids' Outdoor Explorer Kit,90,89,0.02,123.28
26064,Puzzle Mat,90,84,0.01,698.88
26187,Kids' Science Experiment Kit,90,90,0.01,0.0
27021,Multifunctional Baby Bottle Warmer,90,86,0.01,902.36
28097,Honey Glazed Carrots,90,67,0.01,3692.42
28116,Fresh Cilantro,90,88,0.01,155.95
31030,Oven-Baked Chicken Tenders,90,90,0.01,0.0
33032,Diced Tomatoes (canned),90,90,0.01,0.0
33058,Peach Slices (canned),90,90,0.01,0.0
33355,Organic Tomato Soup,90,90,0.01,0.0
33434,Vegetable Lentil Soup,90,90,0.01,0.0
34269,Gardening Gloves,90,90,0.01,0.0
36036,Guitar Tuner,90,90,0.01,0.0
37091,Sunglasses,90,90,0.01,0.0
37112,Compact Umbrella,90,87,0.02,364.84
38040,Feta Cheese Crumbles,90,90,0.01,0.0
38220,Garlic & Herb Goat Cheese,90,82,0.02,1286.26
38302,Shredded Cheese,90,86,0.02,375.39
39085,Miso Soup Starter,90,73,0.02,1584.62
44117,Inflatable Paddle Board,90,76,0.01,1195.05
44232,Collapsible Camping Cup,90,81,0.01,1734.61
44282,Collapsible Folding Chair,90,87,0.01,141.45
44386,Portable Leaf Blower,90,90,0.02,0.0
45140,Plant-Based Protein Bars,90,87,0.01,288.09
46161,Yoga Blocks,90,79,0.01,1202.37
46259,Fitness Resistance Bands Kit,90,90,0.01,0.0
47149,Artisan Cornbread Mix,90,81,0.01,1760.68
48450,Organic Almonds,90,90,0.01,0.0
53074,DIY Candle Kit,90,90,0.01,0.0
56108,Car Escape Tool,90,71,0.01,2940.58
57088,Smart Light Switch,90,90,0.02,0.0
57217,Smart Plug,90,90,0.02,0.0
61109,Magnetic Whiteboard,90,88,0.02,126.07
64299,Luxe Velvet Blazer,90,84,0.02,884.64
65130,Cold Brew Coffee Concentrate,90,90,0.01,0.0
65143,Apple Juice,90,90,0.01,0.0
69230,Classic Pumps,90,90,0.01,0.0
70153,Organic Coconut Sugar,90,88,0.02,265.24
71163,Luxury Bath Salts,90,90,0.01,0.0
73167,Marinara Parmesan Baked Ziti,90,89,0.01,175.48
75303,Chickpea Salad,90,90,0.01,0.0
80226,Cauliflower Crust Pizza,90,90,0.01,0.0
88312,Coffee Subscription Service,90,90,0.01,0.0
102401,Watercolor Paint Set,90,90,0.01,0.0
