product_name,product_category,price,inventory_level,supplier_name,supplier_contact,date,order_lead_time,demand_quantity,demand_trend,seasonal_discount,Seasonality Factors,weather_condition,product_ID
Instant Pot,Kitchen,717.81,7084,Fliptune,250-221-0942,3/31/2022,21,8707,37,0.03,holiday,sunny,10001
Wrap Jumpsuit,Clothing - Jumpsuits,583.34,8805,Tagpad,258-931-5908,12/19/2023,14,42481,81,0.0,NAN,sunny,11002
Spinach and Ricotta Ravioli,Food - Pasta,707.18,1835,Lazzy,961-476-2675,9/1/2023,22,56241,79,0.4,NAN,sunny,12003
Maple Pecan Pancake Mix,Food - Breakfast,417.8,3644,Katz,453-861-4505,5/14/2024,4,23887,26,0.25,festival,rainy,13004
Egg Noodles,Food - Grains,868.24,1820,Linkbridge,801-909-8304,5/2/2024,22,70465,-26,0.22,NAN,rainy,14005
Luxury Bathrobe,Clothing,849.24,4577,Viva,787-719-6717,11/22/2023,22,6837,3,0.24,NAN,sunny,15006
Reversible Comforter Set,Home,507.19,5111,Wikizz,495-965-0918,12/9/2022,19,33558,65,0.38,NAN,cloudy,16007
Adjustable Stand for Tablets and Smartphones,Electronics,134.17,4162,Jabbersphere,633-313-9723,12/1/2024,6,14694,-64,0.01,festival,cloudy,17008
Cranberry Almond Cookies,Food - Bakery,324.08,2711,Fivechat,554-381-9156,10/24/2024,5,80780,-54,0.34,festival,rainy,18009
Wireless Gaming Headset,Gaming,376.06,5221,Tagfeed,994-178-6882,10/30/2022,12,4045,-53,0.25,holiday,sunny,19010
Pasta Primavera,Food - Frozen Foods,738.44,1380,Jabberstorm,529-884-2692,5/20/2023,13,78237,11,0.38,NAN,sunny,20011
Sliced Olives,Food - Condiments,809.16,2254,Skyba,667-350-4415,9/12/2023,2,48596,4,0.19,holiday,rainy,21012
Multi-Functional Rice Cooker,Kitchen,48.75,5009,Tekfly,770-359-6041,12/16/2023,29,62708,-78,0.17,NAN,sunny,10013
Dog Walking Waist Pack,Pets,811.15,4915,Thoughtworks,961-547-9091,12/25/2022,12,40530,62,0.38,NAN,rainy,22014
Maple Oatmeal,Food - Breakfast,871.92,9359,Jaxworks,821-511-5724,11/29/2023,20,70819,38,0.43,NAN,cloudy,13015
Aged White Cheddar Popcorn,Food - Snacks,582.07,9673,Topiczoom,508-961-1231,7/7/2023,24,27132,61,0.39,festival,windy,23016
Floral Summer Dress,Clothing - Dresses,639.33,7672,Skyndu,634-882-5990,4/3/2024,11,42845,-3,0.21,NAN,windy,24017
Sriracha Honey Glaze,Food - Sauces,298.9,1198,Livepath,148-864-9620,6/3/2022,18,87356,-17,0.22,festival,sunny,25018
Pet Nail Clipper,Pets,298.94,2256,Zoovu,378-835-6006,6/6/2023,4,52876,73,0.04,holiday,cloudy,22019
Kids' Trampoline,Toys,928.43,934,Eamia,818-754-2596,9/11/2023,1,6506,23,0.24,holiday,sunny,26020
Multifunctional Baby Bottle Warmer,Baby,919.51,1788,Voonder,458-978-8021,6/12/2022,8,81840,76,0.33,holiday,sunny,27021
